index,liqd,kof,price_last,name,price,name_id
0,,0.94,5557.8534,AWP | Dragon Lore (Factory New),5321.0862,44060
1,,0.94,4442.205,AWP | Gungnir (Factory New),4250.11,776764
2,liqd,0.94,4283.4484,★ Sport Gloves | Pandora's Box (Minimal Wear),4195.4174,44999
3,,0.94,3965.11,AWP | Dragon Lore (Minimal Wear),3866.3046,34076
4,,0.94,3932.4429999999998,AWP | Gungnir (Minimal Wear),3605.6426,776481
1354,newq,0.99,3375.11,★ Specialist Gloves | Marble Fade (Factory New),3605.11,83656
5,zz,0.94,3405.2064,M4A4 | Howl (Factory New),3395.938,44717
6,newq,0.91,5500.0,★ Driver Gloves | Snow Leopard (Factory New),3000.0,836211
7,liqd,0.94,2915.833,★ Moto Gloves | Spearmint (Minimal Wear),2840.11,43160
8,liqd,0.94,3015.11,★ Sport Gloves | Vice (Minimal Wear),2823.6378,162629
10,,0.94,2768.7324,AK-47 | Wild Lotus (Factory New),2655.11,776874
9,,0.94,2550.2670000000003,AWP | Gungnir (Field-Tested),2482.8784,776029
12,,0.94,2280.8160000000003,AWP | Dragon Lore (Field-Tested),2331.435,34075
11,,0.94,2385.6824,M4A4 | Howl (Minimal Wear),2300.8474,35305
15,,0.94,2238.5818,AWP | Gungnir (Well-Worn),2091.1522,776807
14,newq,0.94,2141.0004,★ Sport Gloves | Slingshot (Minimal Wear),2053.2889999999998,835686
13,newq,0.94,2162.846,★ Driver Gloves | Snow Leopard (Minimal Wear),1965.9160000000002,836089
16,,0.94,1941.4666,AK-47 | Wild Lotus (Minimal Wear),1922.2342,776538
17,newq,0.94,2010.11,★ Specialist Gloves | Tiger Strike (Minimal Wear),1907.6642,836118
21,,0.94,1820.5732,StatTrak™ AK-47 | Fire Serpent (Minimal Wear),1826.1192,38182
18,,0.94,1800.1846,M4A4 | Howl (Field-Tested),1811.5586,35304
20,,0.94,1811.8406,AWP | Gungnir (Battle-Scarred),1800.11,775901
19,,0.94,1791.4426,AWP | The Prince (Factory New),1762.0488,776828
24,newq,0.94,1692.4042,M4A1-S | Welcome to the Jungle (Factory New),1727.0996,836236
23,,0.94,1663.283,AWP | Dragon Lore (Well-Worn),1696.5120000000002,34077
22,liqd,0.94,1675.11,★ Sport Gloves | Hedge Maze (Minimal Wear),1610.596,43256
28,,0.94,1600.11,★ StatTrak™ M9 Bayonet | Lore (Factory New),1610.596,43815
3427,zz,0.9,1550.11,Sticker | s1mple (Gold) | Krakow 2017,1550.11,41825
26,newq,0.99,1533.9357,★ Moto Gloves | Blood Pressure (Factory New),1533.9357,836408
34,,0.96,1442.8224,M4A4 | Howl (Well-Worn),1520.11,35306
27,,0.96,1532.0736,AWP | The Prince (Minimal Wear),1510.11,776737
29,a_liqd,0.96,1561.8239999999998,★ Skeleton Knife | Fade (Factory New),1487.2224,776716
30,liqd,0.95,1495.509,★ StatTrak™ Skeleton Knife | Fade (Factory New),1458.4779999999998,777065
25,liqd,0.94,1480.11,★ Sport Gloves | Pandora's Box (Field-Tested),1427.108,43259
32,liqd,0.94,1470.11,★ Sport Gloves | Superconductor (Minimal Wear),1415.4614,43263
35,liqd,0.94,1376.3574,AK-47 | Wild Lotus (Field-Tested),1397.9868,776459
33,liqd,0.94,1430.2476,★ Specialist Gloves | Crimson Kimono (Minimal Wear),1368.8656,43234
39,,0.97,1322.595,AWP | Dragon Lore (Battle-Scarred),1367.4672,34074
40,a_liqd_z,0.96,1480.0128,★ Skeleton Knife | Fade (Minimal Wear),1363.776,776672
36,liqd,0.94,1345.11,★ Skeleton Knife | Crimson Web (Minimal Wear),1361.5806,776917
37,,0.94,1402.5739999999998,★ M9 Bayonet | Lore (Factory New),1345.11,43106
44,,0.94,1267.12,AK-47 | X-Ray (Minimal Wear),1296.0532,835777
48,,0.96,1265.11,★ StatTrak™ Karambit | Lore (Factory New),1265.6256,43743
43,newq,0.97,1260.9709,★ Specialist Gloves | Marble Fade (Minimal Wear),1260.9709,836085
38,,0.94,1340.11,AWP | Medusa (Minimal Wear),1240.11,34105
42,liqd,0.94,1245.2744,AWP | The Prince (Field-Tested),1240.11,776454
41,liqd,0.91,1230.11,★ Driver Gloves | King Snake (Minimal Wear),1215.214,45486
31,newq,0.94,1165.1676,★ Sport Gloves | Big Game (Factory New),1165.11,837367
46,,0.95,1115.11,★ Karambit | Lore (Factory New),1156.777,43961
74,newq,0.99,1060.11,★ Driver Gloves | Rezan the Red (Factory New),1125.11,836401
50,liqd,0.95,1140.7695,AWP | Medusa (Field-Tested),1105.268,34104
54,,0.94,1136.037,★ Sport Gloves | Pandora's Box (Well-Worn),1102.3662,43260
53,,0.94,1082.1468,AK-47 | Fire Serpent (Factory New),1080.11,33895
56,a_liqd,0.96,1110.11,★ Skeleton Knife | Crimson Web (Field-Tested),1078.2336,776748
60,bad,0.94,1075.11,AWP | The Prince (Well-Worn),1076.1589999999999,775968
64,liqd,0.94,1092.3458,AUG | Akihabara Accept (Minimal Wear),1050.11,33986
45,a_liqd,0.94,1045.0,★ Butterfly Knife | Fade (Factory New),1045.5808,42556
51,newq,0.94,1041.3696,★ Specialist Gloves | Field Agent (Minimal Wear),1041.2098,836016
62,bad,0.96,1041.2160000000001,AWP | The Prince (Battle-Scarred),1035.1008,776888
58,newq,0.94,1092.3458,M4A1-S | Welcome to the Jungle (Minimal Wear),1023.7352,835965
68,,0.94,1077.7852,StatTrak™ AK-47 | Fire Serpent (Field-Tested),1022.2782,38181
47,liqd,0.94,1035.5416,★ Sport Gloves | Vice (Field-Tested),1020.8212,45582
59,liqd,0.96,1010.11,★ StatTrak™ Butterfly Knife | Marble Fade (Factory New),1018.7424,43418
65,liqd,0.92,970.7472,★ M9 Bayonet | Lore (Minimal Wear),1005.11,43108
49,liqd,0.93,1017.7868,★ StatTrak™ Butterfly Knife | Fade (Factory New),1008.5199,43412
71,liqd,0.92,915.1516,★ StatTrak™ M9 Bayonet | Lore (Minimal Wear),983.4248,44998
72,newq,0.94,1035.11,★ Sport Gloves | Nocts (Minimal Wear),977.13,836080
52,a_liqd,0.94,950.0,★ Butterfly Knife | Marble Fade (Factory New),965.11,42563
83,,0.94,910.2866,AK-47 | Wild Lotus (Well-Worn),961.1124,776567
76,,0.94,961.2628,★ Skeleton Knife | Crimson Web (Well-Worn),955.11,777040
55,a_liqd,0.96,1011.4656,★ Butterfly Knife | Fade (Minimal Wear),945.11,42557
57,newq,0.97,1060.0,AWP | Fade (Factory New),963.2391,835422
80,liqd,0.94,940.11,★ StatTrak™ Butterfly Knife | Crimson Web (Minimal Wear),940.11,43404
66,liqd,0.94,932.1322,★ Sport Gloves | Amphibious (Minimal Wear),940.11,45440
78,a_liqd,0.96,907.3439999999999,★ Butterfly Knife | Crimson Web (Minimal Wear),936.9504,42548
63,liqd,0.92,970.7472,★ Specialist Gloves | Fade (Minimal Wear),926.4124,45568
69,a_liqd,0.96,870.1536,★ Butterfly Knife | Marble Fade (Minimal Wear),922.08,42564
75,liqd,0.97,970.11,AWP | Medusa (Well-Worn),916.65,34106
77,liqd,0.94,895.7260000000001,M4A1-S | Knight (Factory New),908.6886,35225
70,z_very_new,0.92,855.2872,★ StatTrak™ Butterfly Knife | Fade (Minimal Wear),905.0316,43413
81,newq,0.95,925.8605,★ Moto Gloves | Smoke Out (Minimal Wear),902.1675,836011
85,,0.94,830.1798,★ StatTrak™ Karambit | Fade (Factory New),883.9384,43733
82,liqd,0.94,845.11,AWP | Medusa (Battle-Scarred),875.1964,34103
67,newq,0.94,801.0492,★ Sport Gloves | Scarlet Shamagh (Minimal Wear),873.7394,836069
86,newq,0.98,981.4266,AWP | Fade (Minimal Wear),880.5594,835987
61,newq,0.95,930.278,★ Moto Gloves | Finish Line (Minimal Wear),860.9565,835978
96,,0.94,821.4472,★ StatTrak™ Paracord Knife | Crimson Web (Minimal Wear),860.11,776959
94,newq,0.97,875.11,★ Moto Gloves | Blood Pressure (Minimal Wear),845.11,836117
97,liqd,0.95,840.11,★ Moto Gloves | POW! (Minimal Wear),838.888,45495
89,a_liqd,0.96,835.11,★ Skeleton Knife | Slaughter (Factory New),832.8384,775729
110,z_very_new,0.94,822.9042,★ Skeleton Knife | Case Hardened (Factory New),825.11,777265
84,a_liqd,0.97,867.1872,★ Karambit | Fade (Factory New),826.4885,43000
100,newq,0.95,810.11,★ Driver Gloves | Black Tie (Minimal Wear),816.81,835782
112,newq,0.95,778.6675,★ Hand Wraps | CAUTION! (Minimal Wear),816.81,835907
87,a_liqd,0.96,800.2464,★ Moto Gloves | Spearmint (Field-Tested),815.11,43159
73,,0.95,810.11,★ StatTrak™ Butterfly Knife | Marble Fade (Minimal Wear),810.11,43419
93,newq,0.96,840.4128,AK-47 | X-Ray (Field-Tested),806.0736,836044
101,newq,0.94,732.5984,★ Sport Gloves | Big Game (Minimal Wear),800.927,836026
91,newq,0.91,775.4838,★ Driver Gloves | Snow Leopard (Field-Tested),800.7454,835874
98,a_liqd,0.96,795.11,★ Karambit | Fade (Minimal Wear),800.1216,43001
95,zz,0.99,800.11,★ StatTrak™ Karambit | Fade (Minimal Wear),800.11,43734
92,,0.94,800.11,★ Sport Gloves | Vice (Well-Worn),795.1084,507467
90,liqd,0.92,812.5164,★ Hand Wraps | Cobalt Skulls (Minimal Wear),793.868,422813
88,a_liqd,0.96,803.2224,★ Sport Gloves | Superconductor (Field-Tested),786.7392,43262
121,liqd,0.99,760.0,★ StatTrak™ Butterfly Knife | Doppler (Factory New),760.0,43411
124,,0.96,740.7456,★ StatTrak™ Karambit | Lore (Minimal Wear),740.6304,43745
131,bad,0.96,743.7216,★ Butterfly Knife | Night (Factory New),736.176,45197
136,zz,0.96,688.6848,★ Karambit | Ultraviolet (Factory New),736.176,43044
103,liqd,0.94,747.1684,★ Specialist Gloves | Emerald Web (Minimal Wear),730.11,43238
138,z_very_new,0.96,728.8512,★ StatTrak™ Skeleton Knife | Slaughter (Minimal Wear),728.7360000000001,776795
106,liqd,0.94,735.5124,★ Sport Gloves | Omega (Minimal Wear),725.2006,45571
109,a_liqd,0.96,711.0048,★ Karambit | Lore (Minimal Wear),722.784,43015
118,,0.92,735.11,★ StatTrak™ Bayonet | Lore (Factory New),721.1788,755618
107,a_liqd,0.96,721.4112,★ Skeleton Knife | Slaughter (Minimal Wear),713.8656,776798
116,newq,0.94,707.8388,★ Sport Gloves | Slingshot (Field-Tested),713.554,835867
111,a_liqd,0.96,728.8512,★ Specialist Gloves | Crimson Kimono (Field-Tested),710.8896,43233
115,liqd,0.95,685.9285,★ StatTrak™ Karambit | Marble Fade (Factory New),710.11,43746
102,,0.95,735.9745,M4A4 | Poseidon (Factory New),707.9019999999999,35317
119,liqd,0.96,722.7315,Glock-18 | Fade (Factory New),706.4256,35020
123,,0.97,696.1248,★ StatTrak™ Butterfly Knife | Slaughter (Factory New),706.2764,43429
126,liqd,0.95,700.11,★ StatTrak™ Talon Knife | Fade (Factory New),691.7139999999999,759847
104,a_liqd,0.96,703.5648,★ M9 Bayonet | Crimson Web (Minimal Wear),691.5552,43084
117,a_liqd,0.96,700.5888,★ Butterfly Knife | Slaughter (Factory New),687.0912,42579
128,a_liqd,0.96,688.6848,★ Talon Knife | Fade (Factory New),687.0912,759518
127,a_liqd,0.96,676.7904,★ Karambit | Marble Fade (Factory New),687.0912,43017
